domain,logical_entity,data_cloud_target,field_name,field_api_name,cardinality,required,notes
classification,Company classification,Pulse360_Company_Classification__dlm,Classification Description,description,many_per_party,false,Industry description
hierarchy,Corporate linkage,Pulse360_Corporate_Linkage__dlm,Relationship Type,relationship_type,many_per_party,true,parent subsidiary branch ultimate_parent shared_director beneficial_owner
hierarchy,Corporate linkage,Pulse360_Corporate_Linkage__dlm,Related Entity Name,related_entity_name,many_per_party,true,Linked entity display name
hierarchy,Corporate linkage,Pulse360_Corporate_Linkage__dlm,Ownership Percentage,ownership_percentage,many_per_party,false,Shareholding where available
people,Executive role,Pulse360_Executive_Role__dlm,Executive Name,name,many_per_party,true,CEO director board member etc.
people,Executive role,Pulse360_Executive_Role__dlm,Role Title,role_title,many_per_party,true,Title or role
digital,Digital footprint,Pulse360_Digital_Footprint__dlm,Footprint Type,footprint_type,many_per_party,true,website domain social_profile technology other
digital,Digital footprint,Pulse360_Digital_Footprint__dlm,Value,value,many_per_party,true,Observed URL domain profile or technology value
evidence,Firmographic evidence,Pulse360_Firmographic_Source_Evidence__dlm,Field Path,field_path,many_per_field,true,Path of the field being supported
evidence,Firmographic evidence,Pulse360_Firmographic_Source_Evidence__dlm,Source Name,source_name,many_per_field,true,Registry provider filing or website
evidence,Firmographic evidence,Pulse360_Firmographic_Source_Evidence__dlm,Source Type,source_type,many_per_field,true,official_registry tax_authority filing provider crm customer_internal web_research other
evidence,Firmographic evidence,Pulse360_Firmographic_Source_Evidence__dlm,Source URL,source_url,many_per_field,true,Cited evidence URL
evidence,Firmographic evidence,Pulse360_Firmographic_Source_Evidence__dlm,Confidence,confidence,many_per_field,true,0-1 field confidence
