source_object_name,dmo_api_name,source_field,dmo_field_api_name,data_type,required,key_qualifier,relationship_key,notes
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,group_anchor_name,group_anchor_name__c,Text,false,,false,Display name for the group anchor.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,ultimate_parent_name,ultimate_parent_name__c,Text,false,,false,Best available ultimate parent display name.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,member_account_count,member_account_count__c,Number,false,,false,Current count of account members in the group.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,known_child_account_count,known_child_account_count__c,Number,false,,false,Count of source-backed child accounts under the group anchor.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,group_revenue_local,group_revenue_local__c,Number,false,,false,Group revenue in source/local currency where available.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,group_revenue_usd,group_revenue_usd__c,Number,false,,false,Group revenue in USD where source-backed.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,revenue_coverage_ratio,revenue_coverage_ratio__c,Number,false,,false,Ratio of group members with revenue evidence.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,hierarchy_completeness_score,hierarchy_completeness_score__c,Number,false,,false,M1 hierarchy completeness score from 0 to 1.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,coverage_gap_count,coverage_gap_count__c,Number,false,,false,Count of group members missing revenue evidence.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,coverage_gap_flag,coverage_gap_flag__c,Boolean,false,,false,True when the current group has known evidence gaps.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,coverage_gap_summary,coverage_gap_summary__c,Text,false,,false,Short human-readable coverage gap summary.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,confidence,confidence__c,Number,false,,false,Confidence score from 0 to 1.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,source_account_ids_json,source_account_ids_json__c,Text,false,,false,JSON array of group member Account Ids.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,evidence_refs_json,evidence_refs_json__c,Text,false,,false,JSON array of supporting source references.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,run_id,run_id__c,Text,false,,false,Databricks enrichment run identifier.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,model_version,model_version__c,Text,false,,false,Databricks model or transformation version.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,generated_at,generated_at__c,DateTime,false,,false,Timestamp when the M1 row was generated.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,hierarchy_edge_id,hierarchy_edge_id__c,Text,true,Primary Key,false,Stable hierarchy edge row key.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,source_account_id,source_account_id__c,Text,true,,false,Origin Account Id used to produce the edge.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,parent_source_account_id,parent_source_account_id__c,Text,true,,false,Parent Account Id in the hierarchy edge.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,child_source_account_id,child_source_account_id__c,Text,true,KQ_child_source_account_id,true,Child Account Id relationship to Account.Id.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,parent_party_id,parent_party_id__c,Text,false,,false,Parent party identifier from firmographic outputs where available.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,child_party_id,child_party_id__c,Text,false,,false,Child party identifier from firmographic outputs where available.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,parent_name,parent_name__c,Text,false,,false,Parent entity display name.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,child_name,child_name__c,Text,false,,false,Child entity display name.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,relationship_type,relationship_type__c,Text,false,,false,Relationship type such as parent or subsidiary.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,relationship_basis,relationship_basis__c,Text,false,,false,Evidence basis such as crm_parent_account.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,hierarchy_level,hierarchy_level__c,Number,false,,false,Hierarchy depth level for the relationship edge.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,confidence,confidence__c,Number,false,,false,Confidence score from 0 to 1.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,source_url,source_url__c,Text,false,,false,Source URL where available.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,evidence_id,evidence_id__c,Text,false,,false,Source evidence row identifier.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,evidence_summary,evidence_summary__c,Text,false,,false,Short evidence summary for the edge.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,lineage_refs_json,lineage_refs_json__c,Text,false,,false,JSON lineage references for the edge.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,run_id,run_id__c,Text,false,,false,Databricks enrichment run identifier.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,model_version,model_version__c,Text,false,,false,Databricks model or transformation version.
m1_account_hierarchy_edge_export,Pulse360_M1_Hierarchy_Edge__dlm,generated_at,generated_at__c,DateTime,false,,false,Timestamp when the M1 row was generated.
